iter	Passed	Remaining
939	13472	859
940	13485	845
941	13499	831
942	13513	816
943	13528	802
944	13542	788
945	13558	773
946	13571	759
947	13583	745
948	13597	730
949	13611	716
950	13626	702
951	13641	687
952	13655	673
953	13669	659
954	13684	644
955	13701	630
956	13718	616
957	13733	602
958	13750	587
959	13767	573
960	13784	559
961	13799	545
962	13813	530
963	13828	516
964	13842	502
965	13855	487
966	13869	473
967	13883	458
968	13897	444
969	13911	430
970	13927	415
971	13941	401
972	13954	387
973	13969	372
974	13990	358
975	14004	344
976	14018	330
977	14033	315
978	14047	301
979	14061	286
980	14075	272
981	14091	258
982	14105	243
983	14118	229
984	14132	215
985	14147	200
986	14162	186
987	14176	172
988	14191	157
989	14206	143
990	14219	129
991	14233	114
992	14247	100
993	14262	86
994	14276	71
995	14292	57
996	14308	43
997	14326	28
998	14343	14
999	14359	0
